starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 19 17:56:06 2022	1642604166	0	0	1	0
Wed Jan 19 17:55:56 2022	1642604156	0	2	2	2
Wed Jan 19 17:56:01 2022	1642604161	0	2	3	2
Wed Jan 19 17:56:06 2022	1642604166	0	8	9	1
Wed Jan 19 17:55:57 2022	1642604157	3	9	12	8
Wed Jan 19 17:55:54 2022	1642604154	2	10	12	9
Wed Jan 19 17:55:54 2022	1642604154	2	10	12	9
Wed Jan 19 17:55:54 2022	1642604154	1	11	12	9
Wed Jan 19 17:55:56 2022	1642604156	1	12	13	9
Wed Jan 19 17:55:54 2022	1642604154	1	11	13	9
Wed Jan 19 17:55:54 2022	1642604154	1	12	13	9
Wed Jan 19 17:55:56 2022	1642604156	1	13	13	9
Wed Jan 19 17:55:56 2022	1642604156	4	9	14	5
Wed Jan 19 17:55:54 2022	1642604154	1	13	14	9
Wed Jan 19 17:55:58 2022	1642604158	9	6	15	5
Wed Jan 19 17:56:01 2022	1642604161	7	8	15	7
Wed Jan 19 17:55:57 2022	1642604157	9	7	16	2
Wed Jan 19 17:55:55 2022	1642604155	11	5	16	5
Wed Jan 19 17:55:58 2022	1642604158	9	7	16	6
Wed Jan 19 17:55:56 2022	1642604156	4	12	16	9
Wed Jan 19 17:55:56 2022	1642604156	1	15	16	10
Wed Jan 19 17:55:55 2022	1642604155	11	5	16	5
Wed Jan 19 17:55:58 2022	1642604158	9	7	17	6
Wed Jan 19 17:55:57 2022	1642604157	11	6	17	3
Wed Jan 19 17:55:55 2022	1642604155	11	5	17	5
Wed Jan 19 17:55:56 2022	1642604156	1	16	17	13
Wed Jan 19 17:55:57 2022	1642604157	9	8	17	7
Wed Jan 19 17:55:58 2022	1642604158	9	8	17	6
Wed Jan 19 17:55:55 2022	1642604155	12	6	17	5
Wed Jan 19 17:56:01 2022	1642604161	7	10	17	8
Wed Jan 19 17:55:57 2022	1642604157	11	7	17	3
Wed Jan 19 17:55:57 2022	1642604157	9	8	17	8
Wed Jan 19 17:55:56 2022	1642604156	1	17	18	14
Wed Jan 19 17:56:01 2022	1642604161	7	11	18	9
Wed Jan 19 17:55:57 2022	1642604157	12	6	18	4
Wed Jan 19 17:55:57 2022	1642604157	11	7	18	3
Wed Jan 19 17:55:55 2022	1642604155	12	6	18	5
Wed Jan 19 17:55:54 2022	1642604154	1	17	18	13
Wed Jan 19 17:55:57 2022	1642604157	9	9	18	8
Wed Jan 19 17:56:06 2022	1642604166	0	18	18	16
Wed Jan 19 17:56:01 2022	1642604161	7	11	18	9
Wed Jan 19 17:55:58 2022	1642604158	0	18	18	15
Wed Jan 19 17:55:57 2022	1642604157	11	7	18	3
Wed Jan 19 17:55:57 2022	1642604157	12	6	18	4
Wed Jan 19 17:55:57 2022	1642604157	9	9	18	8
Wed Jan 19 17:55:56 2022	1642604156	2	17	18	14
Wed Jan 19 17:55:54 2022	1642604154	1	18	19	13
Wed Jan 19 17:55:57 2022	1642604157	11	8	19	3
Wed Jan 19 17:55:57 2022	1642604157	12	7	19	4
Wed Jan 19 17:56:00 2022	1642604160	1	18	19	17
Wed Jan 19 17:55:57 2022	1642604157	10	9	19	8
Wed Jan 19 17:55:57 2022	1642604157	11	8	19	3
Wed Jan 19 17:55:58 2022	1642604158	2	17	19	16
Wed Jan 19 17:56:07 2022	1642604167	2	17	19	14
Wed Jan 19 17:56:01 2022	1642604161	8	12	19	9
Wed Jan 19 17:55:56 2022	1642604156	8	11	19	10
Wed Jan 19 17:55:58 2022	1642604158	1	19	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	19	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:56:01 2022	1642604161	6	13	19	13
Wed Jan 19 17:55:58 2022	1642604158	2	18	19	16
Wed Jan 19 17:55:57 2022	1642604157	13	7	19	4
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:56:06 2022	1642604166	7	13	19	12
Wed Jan 19 17:55:57 2022	1642604157	11	8	20	4
Wed Jan 19 17:56:01 2022	1642604161	8	12	20	10
Wed Jan 19 17:55:56 2022	1642604156	3	16	20	13
Wed Jan 19 17:55:56 2022	1642604156	4	16	20	14
Wed Jan 19 17:55:56 2022	1642604156	1	19	20	19
Wed Jan 19 17:55:57 2022	1642604157	12	9	20	4
Wed Jan 19 17:55:57 2022	1642604157	13	7	20	5
Wed Jan 19 17:56:06 2022	1642604166	1	19	20	16
Wed Jan 19 17:56:06 2022	1642604166	1	20	20	16
Wed Jan 19 17:56:06 2022	1642604166	1	20	20	16
Wed Jan 19 17:56:01 2022	1642604161	8	13	20	12
Wed Jan 19 17:55:57 2022	1642604157	10	11	21	10
Wed Jan 19 17:55:58 2022	1642604158	3	18	21	17
Wed Jan 19 17:56:01 2022	1642604161	8	13	21	12
Wed Jan 19 17:55:56 2022	1642604156	8	13	21	12
